French Course: A French course based on Lulu Liberté
Word;Translation;Summary;Note;Level
Bonjour;Hello / Good morning;Used during the day, from morning until late afternoon.;"# **Basic greetings (time & politeness)**

In French, greetings are very important. People usually greet each other before starting a conversation, even with strangers. A simple greeting shows politeness and respect. The greeting you choose often depends on the time of day and how formal the situation is. Learning a few basic greetings is the first step toward speaking French naturally.";Chapter 1
Bonsoir;Good evening;Used in the evening or at night.;;Chapter 1
Salut;Hi / Bye (informal);Used with friends or people you know well.;;Chapter 1
Au revoir;Goodbye;Used when leaving or ending a conversation.;;Chapter 1
À demain;See you tomorrow;Used when you expect to see the person the next day.;;Chapter 1
Merci;Thank you;A basic and essential polite expression.;;Chapter 1
Enchanté(e);Pleased to meet you;The ending changes depending on the speaker’s gender.;;Chapter 1
Ravi(e) de faire votre connaissance;Nice to meet you (formal);Used in polite or formal situations.;;Chapter 1
Très bien, merci;Very well, thank you;A polite way to answer when asked how you are.;;Chapter 1
Salut !;Hi! / Bye! (informal);Very common in friendly situations.;;Chapter 1
Comment tu t’appelles ?;What’s your name? (informal);Used with friends, family, or people your age.;;Chapter 1
Comment vous appelez-vous ?;What’s your name? (formal);Used with strangers or in polite situations.;;Chapter 1
Je m’appelle…;My name is…;Used to say your name in any situation.;;Chapter 1
Et toi ?;And you? (informal);Used to return a question casually.;;Chapter 1
Et vous ?;And you? (formal);Used to return a question politely.;;Chapter 1
Madame;Mrs. / Ma’am;Used for adult women in polite situations.;;Chapter 1
Monsieur;Mr. / Sir;Used for adult men.;;Chapter 1
Mesdames;Ladies;Plural form of Madame.;;Chapter 1
Messieurs;Gentlemen;Plural form of Monsieur.;;Chapter 1
Mademoiselle;Miss;"Less common today; Madame is usually preferred.";;Chapter 1
Comment ça va ?;How are you?;Common and neutral.;;Chapter 1
Comment allez-vous ?;How are you? (formal);Used in polite or formal situations.;;Chapter 1
Comment vas-tu ?;How are you? (informal);Used with friends or people you know well.;;Chapter 1
Ça va ?;How’s it going?;Very common and casual.;;Chapter 1
Et vous ? / Et toi ?;And you?;Used to return the question.;;Chapter 1
Ça va;I’m okay;Neutral and very common.;;Chapter 1
Ça va bien;I’m doing well;A positive response.;;Chapter 1
Ça va mal;I’m not doing well;Used when you feel bad.;;Chapter 1
Comme ci, comme ça;So-so;Means neither good nor bad.;;Chapter 1
Très bien;Very well;Stronger and more positive than “ça va bien”.;;Chapter 1
je;I;Used to talk about yourself.;;Chapter 1
tu;you (informal, singular);Used with friends or people you know well.;;Chapter 1
il / elle;he / she;Used for people or things.;;Chapter 1
nous;we;Used to talk about yourself and others.;;Chapter 1
vous;you (formal or plural);Used in polite situations or with groups.;;Chapter 1
être;to be;An essential and irregular verb.;;Chapter 1
je suis;I am;Used to introduce or describe yourself.;;Chapter 1
tu es;you are (informal);Used in informal situations.;;Chapter 1
il est / elle est;he is / she is;Used for people or things.;;Chapter 1
c’est;it is / this is;Very common in spoken French.;;Chapter 1
nous sommes;we are;Used with nous.;;Chapter 1
vous êtes;you are;Formal singular or any plural.;;Chapter 1
ils sont / elles sont;they are;Masculine/mixed and feminine forms.;;Chapter 1
Vous êtes Madame Dupont.;You are Mrs. Dupont.;Example of polite usage.;;Chapter 1
Ils sont français.;They are French.;Être is often used with descriptions.;;Chapter 1
Je suis Marie.;I am Marie.;Used to introduce yourself.;;Chapter 1
Je suis étudiant(e).;I am a student.;The ending changes depending on gender.;;Chapter 1
Il est professeur.;He is a teacher.;Professions usually appear without an article.;;Chapter 1
Elle est française.;She is French.;Nationality adjectives agree with the subject.;;Chapter 1
Nous sommes prêts.;We are ready.;Plural adjective agreement.;;Chapter 1
le;the (masculine article);Used before masculine nouns.;;Chapter 1
la;the (feminine article);Used before feminine nouns.;;Chapter 1
le livre;the book;Example of a masculine noun.;;Chapter 1
la fleur;the flower;Example of a feminine noun.;;Chapter 1
la ville;the city;The article shows the noun’s gender.;;Chapter 1
le père;the father;Male parent.;;Chapter 1
la mère;the mother;Female parent.;;Chapter 1
le frère;the brother;Male sibling.;;Chapter 1
la sœur;the sister;Female sibling.;;Chapter 1
les parents;the parents;Mother and father together.;;Chapter 1
les;the (plural article);Used before plural nouns.;;Chapter 1
les livres;the books;Plural of le livre.;;Chapter 1
les tables;the tables;Plural of la table.;;Chapter 1
les villes;the cities;Plural of la ville.;;Chapter 1
les amis;the friends;Masculine or mixed group.;;Chapter 1
l’;the (before vowel or silent h);Replaces le or la.;;Chapter 1
l’amie;the (female) friend;Used before a vowel.;;Chapter 1
l’école;the school;The article contracts before école.;;Chapter 1
l’hôtel;the hotel;The h is silent.;;Chapter 1
l’idée;the idea;Gender stays the same.;;Chapter 1
français;French (male);Refers to someone from France.;;Chapter 1
américain;American (male);Refers to someone from the United States.;;Chapter 1
anglais;English (male);Refers to someone from England.;;Chapter 1
espagnol;Spanish (male);Refers to someone from Spain.;;Chapter 1
danois;Danish (male);Refers to someone from Denmark.;;Chapter 1
française;French (female);Feminine form of français.;;Chapter 1
américaine;American (female);Feminine form of américain.;;Chapter 1
anglaise;English (female);Feminine form of anglais.;;Chapter 1
espagnole;Spanish (female);Feminine form of espagnol.;;Chapter 1
danoise;Danish (female);Feminine form of danois.;;Chapter 1
le bureau;the desk;Often used for a teacher’s desk or an office-style desk.;;Chapter 1
le pupitre;the student desk;Specifically refers to a student’s desk.;;Chapter 1
la chaise;the chair;A very common word for any chair.;;Chapter 1
la table;the table;Used for tables in many settings, not just classrooms.;;Chapter 1
le tableau;the board;The board used for writing in a classroom.;;Chapter 1
la porte;the door;Used for doors in rooms and buildings.;;Chapter 1
la fenêtre;the window;Often mentioned when talking about light or air.;;Chapter 1
le mur;the wall;A general word for walls.;;Chapter 1
le sol;the floor;Refers to the ground inside a room.;;Chapter 1
le plafond;the ceiling;The upper surface of a room.;;Chapter 1
petit;small (masculine);Used with masculine nouns.;;Chapter 1
petite;small (feminine);Feminine form of petit.;;Chapter 1
grand;big / tall (masculine);Used with masculine nouns.;;Chapter 1
grande;big / tall (feminine);Feminine form of grand.;;Chapter 1
grands / grandes;big / tall (plural);Plural adjective forms.;;Chapter 1
le professeur;the teacher;Used for all genders.;;Chapter 1
la médecin;the doctor;Common for men and women.;;Chapter 1
l’étudiant;the student (male);Masculine form.;;Chapter 1
l’étudiante;the student (female);Feminine form.;;Chapter 1
content / contente;happy;Adjective changes with gender.;;Chapter 1
intelligent(e);intelligent;Describes someone who is smart or quick to understand.;;Chapter 1
gentil(le);nice / kind;Used for someone pleasant or kind.;;Chapter 1
sociable;sociable;Describes someone who enjoys being with others.;;Chapter 1
calme;calm;Used for people who are relaxed or quiet.;;Chapter 1
sérieux / sérieuse;serious;Describes someone focused or not joking.;;Chapter 1
timide;shy;Used for someone who is quiet or reserved.;;Chapter 1
optimiste;optimistic;Describes someone who expects good outcomes.;;Chapter 1
dynamique;energetic / dynamic;Used for someone active and energetic.;;Chapter 1
travailleur / travailleuse;hardworking;Describes someone who works a lot or works seriously.;;Chapter 1
paresseux / paresseuse;lazy;Used for someone who avoids effort.;;Chapter 1
jeune;young;Used for people who are not old.;;Chapter 1
vieux / vieille;old;The form changes depending on who is being described.;;Chapter 1
chic;stylish;Used for someone well dressed.;;Chapter 1
élégant(e);elegant;Describes a refined or polished appearance.;;Chapter 1
sportif / sportive;athletic;Used for someone physically active.;;Chapter 1
brun(e);brown-haired;Used for people with brown hair.;;Chapter 1
blond(e);blond-haired;Used for people with blond hair.;;Chapter 1
sédentaire;sedentary;Describes someone with little physical activity.;;Chapter 1
jeune d’esprit;young at heart;Used for someone who feels or acts young.;;Chapter 1
bien habillé(e);well dressed;Used to describe someone’s clothing style.;;Chapter 1
Bonjour, je suis Marie.;Hello, I’m Marie.;A basic greeting and self-introduction.;;Chapter 1
Je suis étudiante.;I am a student.;Using être with a profession.;;Chapter 1
Elle est danoise.;She is Danish.;Nationality adjective agreeing with the subject.;;Chapter 1
Le professeur est sérieux.;The teacher is serious.;Noun + adjective agreement.;;Chapter 1
La classe est calme.;The class is calm.;Describing a place with an adjective.;;Chapter 1
Nous sommes étudiants.;We are students.;Plural subject with être.;;Chapter 1
Ils sont sociables.;They are sociable.;Plural adjective agreement.;;Chapter 1
Les chaises sont dans la classe.;The chairs are in the classroom.;Plural noun with article and location phrase.;;Chapter 1
Bonjour, comment allez-vous ?;Hello, how are you?;Polite address with vous.;;Chapter 1
Le tableau est grand.;The board is big.;Describing a classroom object.;;Chapter 1
