Genki: Genki textbook vocabulary
Foreign;Kana;Native;Level
あの;あの;um…;Lesson 1
今;いま;now;Lesson 1
英語;えいご;English (language);Lesson 1
ええ;ええ;yes;Lesson 1
学生;がくせい;student;Lesson 1
〜語;ご;…language;Lesson 1
高校;こうこう;high school;Lesson 1
午後;ごご;P.M.;Lesson 1
午前;ごぜん;A.M;Lesson 1
〜歳;さい;…years old;Lesson 1
〜さん;さん;Mr./Ms…;Lesson 1
〜時;じ;o’clock;Lesson 1
〜人;じん;…people;Lesson 1
日本人;にほんじん;Japanese people;Lesson 1
専攻;せんこう;major;Lesson 1
先生;せんせい;"teacher; Professor";Lesson 1
そうです;そうです;That’s right;Lesson 1
そうですか;そうですか;"I see; Is that so?";Lesson 1
大学;だいがく;"college; university";Lesson 1
電話;でんわ;telephone;Lesson 1
友達;ともだち;friend;Lesson 1
名前;なまえ;name;Lesson 1
何;なに;what;Lesson 1
日本;にほん;Japan;Lesson 1
〜年生;ねんせい;…year student;Lesson 1
はい;はい;yes;Lesson 1
半;はん;half;Lesson 1
番号;ばんごう;number;Lesson 1
留学生;りゅうがくせい;international student;Lesson 1
私;わたし;I;Lesson 1
アメリカ;アメリカ;U.S.A;Lesson 1
イギリス;イギリス;Britain;Lesson 1
オーストラリア;オーストラリア;Australia;Lesson 1
韓国;かんこく;Korea;Lesson 1
スウェーデン;スウェーデン;Sweden;Lesson 1
中国;ちゅうごく;China;Lesson 1
科学;かがく;science;Lesson 1
アジア研究;アジアけんきゅう;Asian studies;Lesson 1
経済;けいざい;economics;Lesson 1
国際関係;こくさいかんけい;international relations;Lesson 1
コンピューター;コンピューター;computer;Lesson 1
人類学;じんるいがく;anthropology;Lesson 1
政治;せいじ;politics;Lesson 1
ビジネス;ビジネス;business;Lesson 1
文学;ぶんがく;literature;Lesson 1
歴史;れきし;history;Lesson 1
仕事;しごと;"job; work; occupation";Lesson 1
医者;いしゃ;doctor;Lesson 1
会社員;かいしゃいん;office worker;Lesson 1
高校生;こうこうせい;high school student;Lesson 1
主婦;しゅふ;housewife;Lesson 1
大学院生;だいがくいんせい;graduate student;Lesson 1
大学生;だいがくせい;college student;Lesson 1
弁護士;べんごし;lawyer;Lesson 1
お母さん;おかあさん;mother;Lesson 1
お父さん;おとうさん;father;Lesson 1
お姉さん;おねえさん;older sister;Lesson 1
お兄さん;おにいさん;older brother;Lesson 1
妹;いもうと;younger sister;Lesson 1
弟;おとうと;younger brother;Lesson 1
これ;これ;this one;Lesson 2
それ;それ;that one;Lesson 2
あれ;あれ;that one (over there);Lesson 2
どれ;どれ;which one;Lesson 2
この;この;this…;Lesson 2
その;その;that…;Lesson 2
あな;あな;that… (over there);Lesson 2
ここ;ここ;here;Lesson 2
そこ;そこ;there;Lesson 2
あそこ;あそこ;over there;Lesson 2
どこ;どこ;where;Lesson 2
だれ;だれ;who;Lesson 2
美味しい;おいしい;delicious;Lesson 2
魚;さかな;fish;Lesson 2
豚カツ;とんかつ;pork cutlet;Lesson 2
肉;にく;meat;Lesson 2
メニュウ;メニュウ;menu;Lesson 2
野菜;やさい;vegetable;Lesson 2
鉛筆;えんぴつ;pencil;Lesson 2
傘;かさ;umbrella;Lesson 2
かばん;かばん;bag;Lesson 2
靴;くつ;shoes;Lesson 2
財布;さいふ;wallet;Lesson 2
ジーンズ;ジーンズ;jeans;Lesson 2
辞書;じしょ;dictionary;Lesson 2
自転車;じてんしゃ;bicycle;Lesson 2
新聞;しんぶん;newspaper;Lesson 2
T シャツ;T シャツ;T-shirt;Lesson 2
時計;とけい;"watch; clock";Lesson 2
ノート;ノート;notebook;Lesson 2
ペン;ぺん;pen;Lesson 2
帽子;ぼうし;"hat; cap";Lesson 2
本;ほん;book;Lesson 2
喫茶店;かっさてん;cafe;Lesson 2
銀行;ぎんこう;bank;Lesson 2
トイレ;トイレ;"toilet; restroom";Lesson 2
図書館;としょかん;library;Lesson 2
郵便局;ゆうびんきょく;post office;Lesson 2
幾ら;いくら;how much;Lesson 2
〜円;えん;…yen;Lesson 2
高い;たかい;"expensive; high";Lesson 2
いらっしゃいませ;いらっしゃいませ;Welcome (to out store);Lesson 2
（〜を）おねがいします;おねがいします;…, please;Lesson 2
（〜を）ください;ください;Please give me …;Lesson 2
じゃあ;じゃあ;"then…; if that is the case…";Lesson 2
どうぞ;どうぞ;"Please; Here it is";Lesson 2
どうも;どうも;Thank you;Lesson 2
